                  ID                Teff            Teff_err              log(g)          log(g)_err              [Fe/H]          [Fe/H]_err                sHRD
                 204           20000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             3.29653
                 205           23000.000             1000.00           3.8000000            0.100000                  -99.9                  -99.9             3.03932
                 206           20000.000             1000.00           3.5000000            0.100000                  -99.9                  -99.9             3.09653
                 207           20000.000             1000.00           3.6000000            0.100000                  -99.9                  -99.9             2.99653
                 208           18000.000             1000.00           2.2000000            0.124965                  -99.9                  -99.9             4.21350
                 209           20000.000             1000.00           2.7000000            0.100000                  -99.9                  -99.9             3.89653
                 210           13000.000             1529.41           1.8500000            0.134595                  -99.9                  -99.9             3.99819
                 211           19000.000             1194.88           2.5000000            0.125548                  -99.9                  -99.9             4.00743
                 212           22000.000             1000.00           3.6000000            0.100000                  -99.9                  -99.9             3.16210
                 213           22000.000             1000.00           3.8000000            0.100000                  -99.9                  -99.9             2.96210
                 214           19000.000             1000.00           3.4000000            0.100000                  -99.9                  -99.9             3.10743
                 215           20000.000             1000.00           4.0000000            0.100000                  -99.9                  -99.9             2.59653
                 216           23000.000             1000.00           4.0000000            0.100000                  -99.9                  -99.9             2.83932
                 217           18000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.71350
                 218           17000.000             1000.00           3.5000000            0.100000                  -99.9                  -99.9             2.81421
                 219           18000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.71350
                 220           20000.000             1000.00           4.0000000            0.100000                  -99.9                  -99.9             2.59653
                 221           16000.000             1000.00           3.4000000            0.100000                  -99.9                  -99.9             2.80889
                 222           18000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.71350
                 223           19000.000             1000.00           2.6000000            0.189108                  -99.9                  -99.9             3.90743
                 224           16000.000             1644.76           2.2000000            0.149097                  -99.9                  -99.9             4.00889
                 225           16000.000             1000.00           2.2000000            0.100000                  -99.9                  -99.9             4.00889
                 226           16000.000             1000.00           2.1000000            0.100000                  -99.9                  -99.9             4.10889
                 227           16000.000             1000.00           2.1100000            0.100000                  -99.9                  -99.9             4.09889
                 228           15000.000             1000.00           2.1000000            0.100000                  -99.9                  -99.9             3.99678
                 229           16000.000             1000.00           2.1000000            0.100000                  -99.9                  -99.9             4.10889
                 230           16000.000             1000.00           2.3000000            0.100000                  -99.9                  -99.9             3.90889
